internal_id,Award ID,Recipient Name,Award Amount,Description,Awarding Agency,Awarding Sub Agency,Period of Performance Start Date,Period of Performance Current End Date,NAICS Code,NAICS Description,PSC Code,awarding_agency_id,agency_slug,generated_internal_id,_searched_as,Company
291829556,80NSSC20C0433,"MOSAIC ATM, INC.",124916.0,MOSAIC,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,,,,862.0,national-aeronautics-and-space-administration,CONT_AWD_80NSSC20C0433_8000_-NONE-_-NONE-,SAIC,SAIC
291825671,80NSSC19C0371,"MOSAIC ATM, INC.",124908.0,INCREASING AUTONOMY WITH AUTOMATED TRAJECTORY NEGOTIATION,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,,,,862.0,national-aeronautics-and-space-administration,CONT_AWD_80NSSC19C0371_8000_-NONE-_-NONE-,SAIC,SAIC
291825665,80NSSC19C0365,"MOSAIC ATM, INC.",124908.0,CONTINGENCY PLANNING FOR TFM DECISION SUPPORT,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,,,,862.0,national-aeronautics-and-space-administration,CONT_AWD_80NSSC19C0365_8000_-NONE-_-NONE-,SAIC,SAIC
291833344,80NSSC21C0264,"MOSAIC ATM, INC.",124864.0,MACHINE LEARNING EXPLAINABILITY AND UNCERTAINTY QUANTIFICATION TO SUPPORT CALIBRATION OF TRUST IN AUTOMATED SYSTEMS,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,,,,862.0,national-aeronautics-and-space-administration,CONT_AWD_80NSSC21C0264_8000_-NONE-_-NONE-,SAIC,SAIC
291833343,80NSSC21C0263,"MOSAIC ATM, INC.",124832.0,EXCHANGE MODEL FOR HARMONIZING MODEL-BASED SYSTEM ENGINEERING (MBSE) PRODUCTS AND TOOLS,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,,,,862.0,national-aeronautics-and-space-administration,CONT_AWD_80NSSC21C0263_8000_-NONE-_-NONE-,SAIC,SAIC
291829634,80NSSC20C0515,"MOSAIC ATM, INC.",124821.0,FORECAST AND REAL TIME STATUS OF AIRSPACE CLOSURES FOR TRADITIONAL AND NEW ENTRANT USERS,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,,,,862.0,national-aeronautics-and-space-administration,CONT_AWD_80NSSC20C0515_8000_-NONE-_-NONE-,SAIC,SAIC
291823916,80NSSC18P1926,"MOSAIC ATM, INC.",124787.0,"NASA S 2018 SBIR SOLICITATION TOPIC A3.02 REQUESTS  AUTONOMOUS SYSTEMS TO PRODUCE ANY OF THE FOLLOWING SYSTEM CAPABILITIES: PROGNOSTICS, DATA MINING, AND DATA DISCOVERY TO IDENTIFY OPPORTUNITIES FOR IMPROVEMENT IN AIRSPACE OPERATIONS.  IDENTIFYING OPPORTUNITIES FOR IMPROVEMENT IS A CRITICAL ONGOING NEED IN THE AIR TRAFFIC MANAGEMENT DOMAIN, FOR WHICH ACHIEVING HIGH LEVELS OF PERFORMANCE IS A DAILY CONCERN. ITS IMPORTANCE WILL CONTINUE AS TRAFFIC VOLUMES GROW AND NEW VEHICLE CLASSES ARE INTRODUCED. IN PARTICULAR, AS NEW URBAN AIR MOBILITY (UAM) OPERATIONS BECOME MORE PREVALENT, METHODOLOGIES TO QUANTIFY PERFORMANCE OF BOTH HUMAN-CENTERED AND AUTONOMOUS OPERATIONS WILL BE REQUIRED. THE OBJECTIVE OF THIS WORK IS TO DISCOVER OPPORTUNITIES FOR IMPROVEMENT IN OPERATIONS OF THE NATIONAL AIRSPACE SYSTEM (NAS), USING METHODS THAT ADVANCE THE STATE OF THE ART AND THAT CAN BE APPLIED TO BOTH CURRENT AND FUTURE OPERATIONS. TO THAT END, MOSAIC ATM PROPOSES TO DEVELOP A TOOL THAT WILL CHARACTERIZE AND CLASSIFY THE EFFICIENCY OF AIRSPACE OPERATIONS, WITH A FOCUS ON AIRPORT METROPLEX OPERATIONS. WE PROPOSE TO LEVERAGE THE LATEST IN MACHINE LEARNING TECHNIQUES TO CREATE SUPERVISED AND UNSUPERVISED MACHINE LEARNING MODELS, WHICH WILL BE TRAINED AND VALIDATED USING LARGE SETS OF ARCHIVED FLIGHT AND WEATHER DATA. THESE MODELS WILL BE ABLE TO IDENTIFY THE MOST CRITICAL CAUSAL FACTORS FOR DEGRADED PERFORMANCE CONDITIONS, IN A WAY THAT IS COMPREHENSIBLE TO AN ANALYST. WE WILL PROVIDE A USER INTERFACE TO EXPLORE THE MODEL RESULTS AND CAUSAL FACTORS. THIS WORK WILL SUPPORT PLANNING FOR UAM OPERATIONS AS WELL AS INFORMING NASA AND OTHER STAKEHOLDERS WHERE FURTHER INVESTMENTS IN NAS AUTOMATION ARE MOST WARRANTED.",National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,,,,862.0,national-aeronautics-and-space-administration,CONT_AWD_80NSSC18P1926_8000_-NONE-_-NONE-,SAIC,SAIC
291518538,75F40120F19048,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,124681.85,"TO OBTAIN PROJECT MANAGEMENT SUPPORT SERVICES TO SUPPORT THE RESEARCH PROGRAM OF THE FDA?S CENTER FOR BIOLOGICS EVALUATION AND RESEARCH, OFFICE OF TISSUE AND ADVANCED THERAPIES, DIVISION OF REGULATORY PROJECT MANAGEMENT.",Department of Health and Human Services,Food and Drug Administration,,,,,,806.0,department-of-health-and-human-services,CONT_AWD_75F40120F19048_7524_HHSF223201610046I_7524,Science Applications International Corporation,SAIC
291825670,80NSSC19C0370,"MOSAIC ATM, INC.",124298.0,INCREASING AUTONOMY WITH AUTOMATED TRAJECTORY NEGOTIATION,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,,,,862.0,national-aeronautics-and-space-administration,CONT_AWD_80NSSC19C0370_8000_-NONE-_-NONE-,SAIC,SAIC
291668109,75R60218F44011,"LEIDOS, INC.",124000.0,IGF::OT::IGF - HDW - HEALTHY START BENCHMARK PERFORMANCE DASHBOARD VISUALIZATIONS,Department of Health and Human Services,Health Resources and Services Administration,,,,,,806.0,department-of-health-and-human-services,CONT_AWD_75R60218F44011_7526_HHSH250201600032B_7526,SAIC,SAIC
